Skupno: cenilec                   Moski average: 0.8867    Zenski average: 0.9130     Razlika: -0.0263
Normalni: cerkovnik                 Moski average: 0.9184    Zenski average: 0.9321     Razlika: -0.0137
Mešani: cerkovnik                 Moski average: 0.9061    Zenski average: 0.9051     Razlika: 0.0010
Skupno: cerkovnik                 Moski average: 0.9122    Zenski average: 0.9191     Razlika: -0.0069
Normalni: davkar                    Moski average: 0.9129    Zenski average: 0.9015     Razlika: 0.0115
Mešani: davkar                    Moski average: 0.8888    Zenski average: 0.8467     Razlika: 0.0422
Skupno: davkar                    Moski average: 0.9009    Zenski average: 0.8951     Razlika: 0.0057
Normalni: dermatolog                Moski average: 0.9121    Zenski average: 0.9244     Razlika: -0.0123
Mešani: dermatolog                Moski average: 0.8852    Zenski average: 0.8935     Razlika: -0.0083
Skupno: dermatolog                Moski average: 0.8987    Zenski average: 0.9048     Razlika: -0.0062
Normalni: diakon                    Moski average: 0.8805    Zenski average: 0.8990     Razlika: -0.0186
Mešani: diakon                    Moski average: 0.8848    Zenski average: 0.8974     Razlika: -0.0126
Skupno: diakon                    Moski average: 0.8826    Zenski average: 0.8919     Razlika: -0.0093
Normalni: dimnikar                  Moski average: 0.9047    Zenski average: 0.9039     Razlika: 0.0008
Mešani: dimnikar                  Moski average: 0.8837    Zenski average: 0.8847     Razlika: -0.0010
Skupno: dimnikar                  Moski average: 0.8942    Zenski average: 0.8938     Razlika: 0.0004
Normalni: draguljar                 Moski average: 0.9242    Zenski average: 0.9263     Razlika: -0.0020
Mešani: draguljar                 Moski average: 0.9166    Zenski average: 0.8891     Razlika: 0.0275
Skupno: draguljar                 Moski average: 0.9204    Zenski average: 0.9214     Razlika: -0.0010
Normalni: dramatik                  Moski average: 0.9052    Zenski average: 0.9054     Razlika: -0.0001
Mešani: dramatik                  Moski average: 0.8917    Zenski average: 0.8647     Razlika: 0.0270
Skupno: dramatik                  Moski average: 0.8985    Zenski average: 0.8986     Razlika: -0.0001
Normalni: dramaturg                 Moski average: 0.9231    Zenski average: 0.9269     Razlika: -0.0037
Mešani: dramaturg                 Moski average: 0.9071    Zenski average: 0.8970     Razlika: 0.0101
Skupno: dramaturg                 Moski average: 0.9151    Zenski average: 0.9170     Razlika: -0.0019
Normalni: družabnik                 Moski average: 0.8885    Zenski average: 0.9241     Razlika: -0.0356
Mešani: družabnik                 Moski average: 0.8769    Zenski average: 0.8883     Razlika: -0.0113
Skupno: družabnik                 Moski average: 0.8827    Zenski average: 0.9005     Razlika: -0.0178
